,Zip Code,Publication Name,ULCS Code,Income,Denom,Num,Graduation Percent,StudentEnrollment,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,BlackAACount,BlackAAPCT,WhiteCount,WhitePCT,EconDisadvRate,OtherRaceCount,OtherRacePCT,Number of Graduates,First-Fall Matriculation Rate
280,19123,Folk Arts-Cultural Treasures Charter School,3384,83008,,,,,,,,,,,,,,,,,,,,,
279,19123,Parkway Center City Middle College High School,5080,83008,110.0,110,100,426.0,22.0,5.16,404.0,94.84,263.0,61.74,162.0,38.03,283.0,66.43,13.0,3.05,100.0,130.0,30.51,110.0,70.91
282,19123,William W. Bodine High School,5150,83008,114.0,107,93.86,464.0,37.0,7.97,427.0,92.03,256.0,55.17,208.0,44.83,185.0,39.87,57.0,12.28,100.0,222.0,47.85,108.0,64.81
288,19103,Freire Charter School,3318,83988,,,,,,,,,,,,,,,,,,,,,
289,19103,Albert M. Greenfield School,2470,83988,,,,,,,,,,,,,,,,,,,,,
290,19103,Philadelphia Electrical and Technology Charter School,3358,83988,,,,,,,,,,,,,,,,,,,,,
291,19103,Russell Byers Charter School,3360,83988,,,,,,,,,,,,,,,,,,,,,
297,19146,Universal Charter School at Alcorn,3424,86372,,,,,,,,,,,,,,,,,,,,,
296,19146,Universal Institute Charter School,3326,86372,,,,,,,,,,,,,,,,,,,,,
295,19146,Edwin M. Stanton School,2450,86372,,,,,,,,,,,,,,,,,,,,,
293,19146,George W. Childs School,2260,86372,,,,,,,,,,,,,,,,,,,,,
292,19146,Independence Charter School,3341,86372,,,,,,,,,,,,,,,,,,,,,
294,19146,Marian Anderson Neighborhood Academy,2480,86372,,,,,,,,,,,,,,,,,,,,,
298,19118,Jenks Academy for Arts and Sciences,6270,86475,,,,,,,,,,,,,,,,,,,,,
304,19125,Liguori Academy-Fortis,3240,89505,37.0,11,29.73,99.0,11.0,11.11,88.0,88.89,51.0,51.52,48.0,48.48,45.0,45.45,19.0,19.19,0.0,35.0,35.35,,
307,19125,Penn Treaty High School,5160,89505,66.0,40,60.61,430.0,180.0,41.86,250.0,58.14,184.0,42.79,245.0,56.98,160.0,37.21,99.0,23.02,100.0,171.0,39.77,42.0,35.71
305,19125,Kensington High School,5700,89505,108.0,67,62.04,477.0,163.0,34.17,314.0,65.83,170.0,35.64,307.0,64.36,149.0,31.24,40.0,8.39,100.0,288.0,60.38,76.0,14.47
303,19125,Alexander Adaire School,5200,89505,,,,,,,,,,,,,,,,,,,,,
306,19125,Alternative Middle Years at James Martin,5430,89505,,,,,,,,,,,,,,,,,,,,,
301,19125,Sankofa Freedom Academy Charter School,3399,89505,,,,,,,,,,,,,,,,,,,,,
300,19125,Horatio B. Hackett School,5300,89505,,,,,,,,,,,,,,,,,,,,,
299,19125,Henry A. Brown School,5210,89505,,,,,,,,,,,,,,,,,,,,,
302,19125,Kensington Health Sciences Academy,5550,89505,111.0,96,86.49,452.0,123.0,27.21,329.0,72.79,260.0,57.52,191.0,42.26,76.0,16.81,33.0,7.3,100.0,343.0,75.89,106.0,33.96
317,19130,People for People Charter School,3335,92097,,,,,,,,,,,,,,,,,,,,,
315,19130,Science Leadership Academy,2650,92097,122.0,122,100,500.0,62.0,12.4,438.0,87.6,238.0,47.6,253.0,50.6,142.0,28.4,181.0,36.2,60.8,177.0,35.4,122.0,77.87
314,19130,Laura W. Waring School,2490,92097,,,,,,,,,,,,,,,,,,,,,
313,19130,Gateway to College - Community College of Philadelphia,8100,92097,27.0,18,66.67,67.0,5.0,7.46,62.0,92.54,38.0,56.72,29.0,43.28,49.0,73.13,9.0,13.43,0.0,9.0,13.43,,
316,19130,Franklin Learning Center,2290,92097,227.0,195,85.9,765.0,56.0,7.32,709.0,92.68,454.0,59.35,308.0,40.26,369.0,48.24,46.0,6.01,100.0,350.0,45.76,194.0,59.79
311,19130,Re-Engagement Center,8900,92097,,,,,,,,,,,,,,,,,,,,,
310,19130,Julia R. Masterman School,2140,92097,114.0,114,100,1201.0,26.0,2.16,1175.0,97.84,600.0,49.96,597.0,49.71,200.0,16.65,480.0,39.97,59.82,521.0,43.39,114.0,89.47
309,19130,Benjamin Franklin High School,2010,92097,98.0,60,61.22,545.0,185.0,33.94,360.0,66.06,251.0,46.06,294.0,53.94,374.0,68.62,19.0,3.49,100.0,152.0,27.89,63.0,17.46
308,19130,Philadelphia Virtual Academy,8780,92097,215.0,101,46.98,710.0,99.0,13.94,611.0,86.06,346.0,48.73,362.0,50.99,457.0,64.37,61.0,8.59,,192.0,27.04,122.0,17.21
312,19130,Bache-Martin School,2210,92097,,,,,,,,,,,,,,,,,,,,,
318,19147,Fanny Jackson Coppin School,2510,93996,,,,,,,,,,,,,,,,,,,,,
319,19147,William M. Meredith School,2380,93996,,,,,,,,,,,,,,,,,,,,,
320,19147,Eliza B. Kirkbride School,2580,93996,,,,,,,,,,,,,,,,,,,,,
321,19147,High School for Creative and Performing Arts,2020,93996,186.0,183,98.39,656.0,39.0,5.95,617.0,94.05,504.0,76.83,143.0,21.8,313.0,47.71,187.0,28.51,81.22,156.0,23.78,182.0,73.63
322,19147,Academy at Palumbo,2620,93996,333.0,323,97,1188.0,57.0,4.8,1131.0,95.2,692.0,58.25,491.0,41.33,296.0,24.92,193.0,16.25,100.0,699.0,58.84,323.0,76.78
323,19147,Vare-Washington School,2720,93996,,,,,,,,,,,,,,,,,,,,,
324,19147,George W. Nebinger School,2590,93996,,,,,,,,,,,,,,,,,,,,,
325,19147,Christopher Columbus Charter School,3306,93996,,,,,,,,,,,,,,,,,,,,,
327,19106,Mastery Charter School at Lenfest,3361,126287,,,,,,,,,,,,,,,,,,,,,
326,19106,General George A. McCall School,2340,126287,,,,,,,,,,,,,,,,,,,,,
328,19106,Constitution High School,2670,126287,81.0,78,96.3,401.0,51.0,12.72,350.0,87.28,225.0,56.11,175.0,43.64,255.0,63.59,20.0,4.99,100.0,126.0,31.43,78.0,56.41
